Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1296734,Live,Selection of Service Provider for Implementation and Management of NPSB and Bangla QR Solution under Software as a Service (SaaS) Model,"Ministry of Finance, | Financial Institutions Division, | Rajshahi Krishi Unnayan Bank (RAKUB), | ICT System Department","NCT,, OTM",14-Jun-2026 16:30,25-Jun-2026 17:00,0,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1296734&h=t
1253745,Live,IP Surveillance/ CCTV Camera System,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Bagerhat Palli Bidyut Samity","NCT,, OTM",15-Jun-2026 13:00,25-Jun-2026 16:00,0,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1253745&h=t
1295090,Live,Procurement of CCTV Camera & Accessories,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Cumilla Palli Bidyut Samity 1","NCT,, OTM",16-Jun-2026 10:00,28-Jun-2026 12:00,3,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1295090&h=t
1261693,Live,Supply and Installation of an ArcGIS Software to Support Comprehensive Digital Platform under the RAISE Project,"Ministry of Finance, | Financial Institutions Division, | Palli Karma-Sahayak Foundation, | PKSF","NCT,, OTM",24-May-2026 10:30,30-Jun-2026 14:30,5,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1261693&h=t
1303425,Live,Supply of Laptops and Printers for the University of Dhaka,"Ministry of Education, | Secondary and Higher Education Division, | University of Dhaka, | Office of the Director of Accounts","NCT,, OTM",23-Jun-2026 16:30,30-Jun-2026 16:30,5,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1303425&h=t
1298137,Live,"Campus Network Expansion (device installation, complete setup, and commissioning) for Munshi Meherullah Hall (Phase-02), Beerprotik Taramon Bibi Hall (Phase-02), Faculty of Veterinary Medicine (Jhenaidah Campus) (Phase-01) of JUST.","Ministry of Education, | Secondary and Higher Education Division, | Jessore University of Science & Technology, | ICT Cell","NCT,, OTM",15-Jun-2026 21:00,30-Jun-2026 12:00,5,ERP,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1298137&h=t
1278226,Live,"Procurement of Machineries and Equipment for Yarn Engineering Department, Testing and Quality Control Department, Fabric Engineering Department, Computerized/Software based Machineries for Madaripur Textile Engineering College.","Ministry of Textiles & Jute, | Department of Textiles, | Establishment of Madaripur Textile Engineering College, Shibchar, Madaripur Project","NCT,, OTM",08-Jun-2026 10:30,01-Jul-2026 14:30,6,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1278226&h=t
1290881,Live,Supply and Installation of Laptop and Multimedia Projector,"Ministry of Education, | Secondary and Higher Education Division, | University of Dhaka, | Department of Psychology","NCT,, OTM",17-Jun-2026 11:00,01-Jul-2026 11:10,6,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1290881&h=t
1288413,Live,Procurement of 01(one) Laptop.,"Ministry of Finance, | Financial Institutions Division, | Bangladesh Bank, | Information and Communication Technology Department (ICTD)","NCT,, OTM",10-Jun-2026 15:00,01-Jul-2026 16:00,6,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1288413&h=t
1279066,Live,Procurement of CCTV Surveillance System and Biometric Fingerprint Time Attendance Device Maintenance Accessories for DPDC.,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Dhaka Power Distribution Company Ltd. (DPDC), | DGM(HR), Security","NCT,, OTM",21-Jun-2026 10:00,01-Jul-2026 15:00,6,ERP,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1279066&h=t
1301377,Live,"Procurement of ICT Equipment for Lab, Department of Mathematics, University of Rajshahi","Ministry of Education, | Secondary and Higher Education Division, | University of Rajshahi, | RU-MATH-HEAT-ATF-PIN_13186","NCT,, OTM",22-Jun-2026 16:00,02-Jul-2026 16:00,7,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301377&h=t
1296054,Live,"Purchase of Supply, Installation and Testing of Bio-ICT Equipment and Software","Ministry of Education, | Secondary and Higher Education Division, | University of Dhaka, | Office of the Sub-Project Manager (HEAT-11002-DU)","NCT,, OTM",18-Jun-2026 12:00,02-Jul-2026 16:30,7,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1296054&h=t
1280008,Live,"Procurement of Machineries and Equipment for Yarn Engineering Department, FABRIC ENGINEERING DEPARTMENT, Wet Process Engineering Department & Computerized /Software based machineries for Sylhet textile Engineering college.","Ministry of Textiles & Jute, | Department of Textiles, | Establishment of Sylhet Textile Engineering College, Sylhet","NCT,, OTM",09-Jun-2026 10:30,02-Jul-2026 15:00,7,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1280008&h=t
1290893,Live,"Procurement of Machineries and Equipment for Yarn Engineering Department, Fabric Engineering Department, Wet Process Engineering Department & Computerized/Software based Machineries for Lalmonirhat Textile Institute.","Ministry of Textiles & Jute, | Department of Textiles, | Establishment of Lalmonirhat Textile Institute Project","NCT,, OTM",09-Jun-2026 10:30,02-Jul-2026 14:30,7,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1290893&h=t
1301606,Live,"Upgradation, Modernization & Support of Existing Prepayment Metering Applications, Database, Others related Framework &Tools under","Ministry of Energy, Power and Mineral Resources, | Power Division, | West Zone Power Distribution Company Ltd (WZPDCL), | Office of the Superintendent Engineer, Pre-paid Meter and Networking","NCT,, OTM",21-Jun-2026 16:00,06-Jul-2026 12:00,11,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301606&h=t
1301557,Live,"Procurement of Laptop, Printer & accessories for official use of the Chief Engineer, Sylhet City Corporation.","Ministry of Local Government, Rural Development and Co-operatives, | Local Government Division, | Sylhet City Corporation, | Engineering Department (Civil), Sylhet City Corporation.","NCT,, OTM",22-Jun-2026 10:00,07-Jul-2026 17:00,12,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301557&h=t
1294281,Live,Supply and Installation of Security Devices (Anti-DDoS and Load Balancer with WAF) for ICBS Data Center.,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Information and Communication Technology (ICT) Directorate.","NCT,, OTM",16-Jun-2026 10:00,07-Jul-2026 12:00,12,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1294281&h=t
1301963,Live,Procurement of ICT Equipment for Seminar Room and Office,"Ministry of Education, | Secondary and Higher Education Division, | Gazipur Agricultural University, | Office of the Sub-Project Manager under HEAT Project (13692)","NCT,, OTM",25-Jun-2026 10:00,08-Jul-2026 17:00,13,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301963&h=t
1299893,Live,Procurement of ICT Equipment for AI Lab,"Ministry of Education, | Secondary and Higher Education Division, | University of Rajshahi, | RU-LAW-HEAT-ATF-PIN-13154","NCT,, OTM",23-Jun-2026 12:30,09-Jul-2026 15:00,14,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1299893&h=t
1299371,Live,"2 Years IT Support and Maintenance Service for ASYCUDA System Data Center (Segunbagicha) & Near Data Center (Customs House, Dhaka)","Ministry of Finance, | Internal Resource Division, | National Board of Revenue, | Customs Automation Section","NCT,, OTM",22-Jun-2026 15:00,14-Jul-2026 15:00,19,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1299371&h=t
1303257,Live,"Selecting Consulting Farm (National) for Upgradation, Modification, Support, and Maintenance of Height Clearance Management System (HCMS) Software.","Ministry of Civil Aviation & Tourism, | Civil Aviation Authority of Bangladesh, | Office of the Executive Director (CEMSU)","NCT,, QCBS",25-Jun-2026 10:00,15-Jul-2026 12:00,20,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1303257&h=t
1295484,Live,"Procurement of PLC, HMI, Laptop and Spare parts for various control panels and controllers under the I&C Division of 225 MW CCPP, Zone: C, APSCL","Ministry of Energy, Power and Mineral Resources, | Power Division, | Ashuganj Power Station Company Ltd., | Procurement Division","NCT,, OTM",16-Jun-2026 16:00,15-Jul-2026 16:00,20,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1295484&h=t
1299416,Live,"Supply of License for Oracle Software and Oracle Database Appliance with related Operation, Support and Maintenance in BPDB.","Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Directorate of Purchase.","NCT,, OTM",21-Jun-2026 18:45,21-Jul-2026 14:00,26,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1299416&h=t
1301379,Live,Procurement of Core Communication Device for Data Center (DC) of Sonali Bank PLC.,"Ministry of Finance, | Financial Institutions Division, | Sonali Bank Limited, | IT Procurement & Maintenance Division","NCT,, OTM",18-Jun-2026 18:00,23-Jul-2026 15:30,28,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301379&h=t
1302712,Live,"Procurement of CCTV and Spare Parts of CCTV for Facility Division, APSCL","Ministry of Energy, Power and Mineral Resources, | Power Division, | Ashuganj Power Station Company Ltd., | Procurement Division","NCT,, OTM",23-Jun-2026 18:00,27-Jul-2026 16:00,32,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302712&h=t
